year,tmID,franchID,confID,rank,playoff,firstRound,semis,finals,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,won,lost,GP,homeW,homeL,awayW,awayL,confW,confL,min,coach_experience,player_average_height,player_average_weight,player_total_GP,player_total_GS,player_total_points,player_total_oRebounds,player_total_dRebounds,player_total_rebounds,player_total_assists,player_total_steals,player_total_blocks,player_total_turnovers,player_total_PF,player_total_fgAttempted,player_total_fgMade,player_total_ftAttempted,player_total_ftMade,player_total_threeAttempted,player_total_threeMade,player_total_dq,player_total_PostGP,player_total_PostGS,player_total_PostMinutes,player_total_PostPoints,player_total_PostoRebounds,player_total_PostdRebounds,player_total_PostRebounds,player_total_PostAssists,player_total_PostSteals,player_total_PostBlocks,player_total_PostTurnovers,player_total_PostPF,player_total_PostfgAttempted,player_total_PostfgMade,player_total_PostftAttempted,player_total_PostftMade,player_total_PostthreeAttempted,player_total_PostthreeMade,player_total_PostDQ,player_total_awards,winrate,home_winrate,away_winrate,conf_winrate,o_fg_pct,o_ft_pct,o_3p_pct,o_oreb_pct,o_dreb_pct,d_fg_pct,d_ft_pct,d_3p_pct,d_oreb_pct,d_dreb_pct,pts_diff
9,ATL,ATL,EA,7.0,N,,,,895.0,2258.0,542.0,725.0,202.0,598.0,340.0,737.0,1077.0,492.0,796.0,285.0,593.0,142.0,2534.0,1014.0,2254.0,679.0,918.0,172.0,502.0,401.0,864.0,1265.0,684.0,726.0,310.0,561.0,134.0,2879.0,4.0,30.0,34.0,1.0,16.0,3.0,14.0,2.0,18.0,6825.0,0.0,185.35714285714286,76.0,319.0,166.0,2314.0,297.0,650.0,947.0,482.0,282.0,115.0,499.0,705.0,2114.0,818.0,637.0,476.0,598.0,202.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.058823529411764705,0.17647058823529413,0.1,0.3963684676705049,0.7475862068965518,0.3377926421404682,0.31569173630454966,0.6843082636954503,0.44986690328305234,0.7396514161220044,0.3426294820717131,0.31699604743083004,0.68300395256917,-345.0
10,ATL,ATL,EA,2.0,Y,L,,,1089.0,2428.0,569.0,755.0,114.0,374.0,404.0,855.0,1259.0,547.0,741.0,329.0,590.0,121.0,2861.0,996.0,2363.0,624.0,807.0,181.0,530.0,353.0,821.0,1174.0,615.0,700.0,347.0,601.0,133.0,2797.0,18.0,16.0,34.0,12.0,5.0,6.0,11.0,10.0,12.0,6950.0,110.0,183.69230769230768,71.6923076923077,351.0,170.0,2861.0,404.0,855.0,1259.0,547.0,329.0,121.0,567.0,741.0,2428.0,1089.0,755.0,569.0,374.0,114.0,5.0,19.0,10.0,402.0,168.0,21.0,40.0,61.0,33.0,15.0,4.0,41.0,45.0,135.0,58.0,60.0,40.0,29.0,12.0,0.0,1.0,0.5294117647058824,0.7058823529411765,0.35294117647058826,0.45454545454545453,0.4485172981878089,0.7536423841059603,0.3048128342245989,0.32088959491660046,0.6791104050833995,0.42149809564113416,0.7732342007434945,0.34150943396226413,0.30068143100511074,0.6993185689948893,64.0
1,CHA,CHA,EA,8.0,N,,,,812.0,1903.0,431.0,577.0,131.0,386.0,305.0,630.0,935.0,551.0,713.0,222.0,496.0,90.0,2186.0,879.0,1930.0,533.0,716.0,138.0,423.0,326.0,664.0,990.0,596.0,596.0,259.0,426.0,123.0,2429.0,8.0,24.0,32.0,5.0,11.0,3.0,13.0,5.0,16.0,6475.0,0.0,181.6153846153846,76.0,318.0,160.0,2186.0,305.0,630.0,935.0,551.0,222.0,90.0,483.0,713.0,1903.0,812.0,577.0,431.0,386.0,131.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.3125,0.1875,0.23809523809523808,0.42669469259064635,0.7469670710571924,0.3393782383419689,0.32620320855614976,0.6737967914438503,0.455440414507772,0.744413407821229,0.3262411347517731,0.3292929292929293,0.6707070707070707,-243.0
2,CHA,CHA,EA,4.0,Y,W,W,L,746.0,1780.0,410.0,528.0,153.0,428.0,309.0,639.0,948.0,467.0,605.0,217.0,474.0,114.0,2055.0,732.0,1846.0,431.0,562.0,114.0,369.0,344.0,567.0,911.0,443.0,579.0,257.0,447.0,124.0,2009.0,18.0,14.0,32.0,11.0,5.0,7.0,9.0,15.0,6.0,6500.0,56.0,181.08333333333334,74.0,302.0,160.0,2055.0,309.0,639.0,948.0,467.0,217.0,114.0,464.0,605.0,1780.0,746.0,528.0,410.0,428.0,153.0,5.0,72.0,40.0,1600.0,463.0,67.0,146.0,213.0,112.0,49.0,31.0,104.0,143.0,429.0,177.0,90.0,70.0,103.0,39.0,0.0,0.0,0.5625,0.6875,0.4375,0.7142857142857143,0.4191011235955056,0.7765151515151515,0.3574766355140187,0.3259493670886076,0.6740506329113924,0.39653304442036835,0.7669039145907474,0.3089430894308943,0.37760702524698136,0.6223929747530187,46.0
3,CHA,CHA,EA,2.0,Y,L,,,770.0,1790.0,490.0,663.0,211.0,527.0,302.0,653.0,955.0,496.0,647.0,241.0,408.0,105.0,2241.0,778.0,1807.0,444.0,598.0,133.0,372.0,295.0,620.0,915.0,489.0,600.0,208.0,424.0,103.0,2133.0,18.0,14.0,32.0,11.0,5.0,7.0,9.0,12.0,9.0,6450.0,224.0,180.6153846153846,74.23076923076923,269.0,160.0,2146.0,270.0,594.0,864.0,478.0,228.0,90.0,366.0,586.0,1708.0,737.0,627.0,465.0,516.0,207.0,8.0,17.0,10.0,369.0,104.0,18.0,38.0,56.0,27.0,14.0,4.0,23.0,28.0,114.0,42.0,19.0,9.0,42.0,11.0,0.0,0.0,0.5625,0.6875,0.4375,0.5714285714285714,0.4301675977653631,0.7390648567119156,0.40037950664136623,0.3162303664921466,0.6837696335078534,0.43054786939679024,0.7424749163879598,0.3575268817204301,0.3224043715846995,0.6775956284153005,108.0
4,CHA,CHA,EA,2.0,Y,L,,,787.0,1881.0,456.0,590.0,187.0,517.0,342.0,629.0,971.0,499.0,697.0,279.0,497.0,115.0,2217.0,790.0,1902.0,477.0,667.0,138.0,407.0,386.0,621.0,1007.0,491.0,606.0,264.0,469.0,104.0,2195.0,18.0,16.0,34.0,13.0,4.0,5.0,12.0,12.0,12.0,6850.0,0.0,180.1818181818182,74.0,339.0,170.0,2208.0,340.0,627.0,967.0,496.0,279.0,115.0,468.0,691.0,1873.0,784.0,586.0,453.0,517.0,187.0,3.0,22.0,10.0,400.0,128.0,21.0,31.0,52.0,28.0,12.0,7.0,22.0,40.0,112.0,44.0,34.0,27.0,31.0,13.0,1.0,0.0,0.5294117647058824,0.7647058823529411,0.29411764705882354,0.5,0.41839447102605,0.7728813559322034,0.3617021276595745,0.35221421215242016,0.6477857878475798,0.4153522607781283,0.7151424287856072,0.33906633906633904,0.3833167825223436,0.6166832174776564,22.0
5,CHA,CHA,EA,5.0,N,,,,745.0,1744.0,436.0,590.0,166.0,459.0,256.0,616.0,872.0,426.0,648.0,210.0,479.0,134.0,2092.0,800.0,1932.0,438.0,587.0,130.0,349.0,368.0,628.0,996.0,516.0,595.0,243.0,437.0,114.0,2168.0,16.0,18.0,34.0,10.0,7.0,6.0,11.0,8.0,12.0,6900.0,260.0,182.28571428571428,75.5,341.0,170.0,2092.0,256.0,616.0,872.0,426.0,210.0,134.0,451.0,648.0,1744.0,745.0,590.0,436.0,459.0,166.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47058823529411764,0.5882352941176471,0.35294117647058826,0.4,0.4271788990825688,0.7389830508474576,0.3616557734204793,0.29357798165137616,0.7064220183486238,0.4140786749482402,0.7461669505962522,0.37249283667621774,0.36947791164658633,0.6305220883534136,-76.0
6,CHA,CHA,EA,6.0,N,,,,772.0,1913.0,447.0,624.0,104.0,301.0,316.0,609.0,925.0,493.0,727.0,284.0,535.0,113.0,2095.0,851.0,1888.0,509.0,713.0,124.0,339.0,355.0,700.0,1055.0,496.0,654.0,269.0,534.0,146.0,2335.0,6.0,28.0,34.0,5.0,12.0,1.0,16.0,4.0,16.0,6945.0,382.5882352941177,182.5,75.8125,338.0,170.0,2095.0,316.0,609.0,925.0,493.0,284.0,113.0,510.0,727.0,1913.0,772.0,624.0,447.0,301.0,104.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17647058823529413,0.29411764705882354,0.058823529411764705,0.2,0.4035546262415055,0.7163461538461539,0.34551495016611294,0.34162162162162163,0.6583783783783784,0.4507415254237288,0.7138849929873773,0.36578171091445427,0.33649289099526064,0.6635071090047393,-240.0
7,CHA,CHA,EA,6.0,N,,,,864.0,2178.0,552.0,777.0,176.0,544.0,347.0,747.0,1094.0,527.0,734.0,315.0,574.0,155.0,2456.0,911.0,2149.0,594.0,791.0,155.0,465.0,370.0,870.0,1240.0,522.0,707.0,286.0,619.0,125.0,2571.0,11.0,23.0,34.0,7.0,10.0,4.0,13.0,6.0,14.0,6825.0,210.0,184.66666666666666,77.58333333333333,351.0,170.0,2456.0,347.0,747.0,1094.0,527.0,315.0,155.0,545.0,734.0,2178.0,864.0,777.0,552.0,544.0,176.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3235294117647059,0.4117647058823529,0.23529411764705882,0.3,0.39669421487603307,0.7104247104247104,0.3235294117647059,0.3171846435100548,0.6828153564899452,0.4239181014425314,0.7509481668773704,0.3333333333333333,0.29838709677419356,0.7016129032258065,-115.0
7,CHI,CHI,EA,7.0,N,,,,858.0,2175.0,449.0,643.0,157.0,536.0,357.0,680.0,1037.0,509.0,674.0,277.0,527.0,125.0,2322.0,971.0,2147.0,545.0,736.0,200.0,536.0,379.0,860.0,1239.0,623.0,584.0,262.0,535.0,120.0,2687.0,5.0,29.0,34.0,3.0,14.0,2.0,15.0,4.0,16.0,6800.0,0.0,183.4,74.53333333333333,337.0,170.0,2322.0,357.0,680.0,1037.0,509.0,277.0,125.0,486.0,674.0,2175.0,858.0,643.0,449.0,536.0,157.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14705882352941177,0.17647058823529413,0.11764705882352941,0.2,0.39448275862068966,0.6982892690513219,0.292910447761194,0.3442622950819672,0.6557377049180327,0.45225896599906845,0.7404891304347826,0.373134328358209,0.3058918482647296,0.6941081517352704,-365.0
